BusStopCode,Latitude,Longitude,Attraction
1012,1.29684825487647,103.85253591654,
1013,1.29770970610083,103.853224746322,
1019,1.29698951191332,103.853022011725,
1029,1.2966729849642,103.854414224643,
1039,1.29820784139683,103.855491398374,
1059,1.30075679526626,103.856110404576,Bugis MRT Station
1109,1.30358577565355,103.856503729982,
1112,1.30009212839081,103.855200271258,
1113,1.30117297541547,103.856114010639,
1119,1.2996041093804,103.855129340796,
1121,1.30393809691048,103.858679992432,
1129,1.30350269187301,103.858645307185,
1139,1.30033057855542,103.857160806659,Bugis MRT Station
1211,1.30551803523268,103.860544951603,
1219,1.30526598535719,103.860720199146,
1229,1.30337552638813,103.859630891983,
1231,1.3032499999752,103.861083055966,
1239,1.30291236608351,103.861618176111,
1311,1.3070916463394,103.86219695241,
1319,1.30757426746418,103.863255961235,Lavender MRT Station
1329,1.30495670239172,103.863630284841,
1339,1.30774601733202,103.864262746544,
1341,1.30647555600578,103.864525277987,
1349,1.30568635716829,103.865439944179,
1411,1.30211332865049,103.862955981673,
1419,1.3020199999911,103.863263333012,
1421,1.30338444400173,103.864838888986,
1429,1.3032136089394,103.865015848078,
1511,1.29919826103807,103.858645183024,
1519,1.29907492488417,103.858910297344,
1521,1.30088304437602,103.860660981822,
1529,1.30041667676526,103.860441152599,
1541,1.29886465442254,103.857345836287,
1549,1.30069868861162,103.858731204671,
1559,1.30168731070562,103.857529239616,
1611,1.29527259171342,103.855336861812,
1619,1.29428694178246,103.855038094242,Esplanade MRT Station
1621,1.29695888888745,103.856556111098,
1629,1.29695972219958,103.856865277802,
1631,1.29693614589482,103.855805555281,
1639,1.29738750001468,103.855575832976,
2029,1.28879015142476,103.852933180668,
2049,1.29452091230981,103.854021555052,Swissotel The Stamford Singapore
2051,1.2895030556082,103.859033888993,
2061,1.2899638888957,103.856403888863,Esplanade Mall
2089,1.29152694444975,103.85920611105,Millenia Walk
2099,1.29147264805943,103.861485583808,
2101,1.28938483786533,103.861831481163,
2111,1.29095592348389,103.854534194352,
2119,1.29184407356581,103.855343343051,
2141,1.29576571603037,103.859338146329,
2149,1.29560459817725,103.859555330292,
2151,1.29317776320814,103.85784623004,
2159,1.29360811227161,103.858406728286,
2161,1.29268553508737,103.860931561882,Promenade MRT Station
2169,1.29333836780589,103.860708490528,Promenade MRT Station
2171,1.29070000003898,103.86092194446,
2181,1.28947444402148,103.850981667,
3011,1.28561840945474,103.853422232464,
3019,1.284245000013,103.853108055996,Raffles Place MRT Station
3021,1.28255524603003,103.849989037893,
3031,1.28207492207952,103.850860749251,
3041,1.28179509394707,103.848932073917,Telok Ayer MRT Station
3059,1.281111,103.851461,One Raffles Quay (North Tower)
3071,1.27990609626764,103.849400304245,
3111,1.2778259536079,103.848101171973,
3129,1.27807003532092,103.849567181238,
3151,1.27892124625262,103.847762346271,
3217,1.27552218897645,103.847944367492,Singapore Conference Hall
3218,1.2740788888387,103.846873888904,
3222,1.27397836925637,103.844895629224,
3223,1.2757033952327,103.84632468222,Tanjong Pagar MRT Station
3239,1.27464226961973,103.847567213724,
3241,1.27456,103.84537,
3331,1.27663307202767,103.860768080248,
3339,1.27498516412784,103.859500162505,
3341,1.27959780011944,103.864337684408,
3349,1.27965600609923,103.864778079555,
3369,1.27960772061959,103.869874477407,
3371,1.28066479303461,103.866269555234,
3381,1.28162601329006,103.853065137257,
3391,1.28037660340352,103.85498006768,
3411,1.27159299884076,103.863009004882,
3419,1.27127698470973,103.862976931578,Marina South Pier MRT Station
3421,1.26694090294712,103.859647781347,
3501,1.28500467671367,103.860611053864,
3509,1.28314999997332,103.860043888918,The Shoppes at Marina Bay Sands
3511,1.28194779470571,103.858970648725,Bayfront MRT Station
3519,1.28124500000125,103.858847999974,
3529,1.27939957419063,103.852787699217,Downtown MRT Station
3539,1.2775330547661,103.855616100129,Marina Bay MRT Station
4019,1.29807216909408,103.849756073058,
4029,1.29948166696821,103.850926667012,Bencoolen MRT Station
4111,1.29395444170081,103.851390966366,
4121,1.29618544092334,103.849580299746,
4142,1.2930982644668,103.849659945007,
4143,1.29411640848293,103.850206069055,
4149,1.29276132399953,103.849837413443,
4151,1.29533777799211,103.851139721981,
4159,1.29489484954945,103.851081386639,
4167,1.29250006522444,103.851453154686,City Hall MRT Station
4168,1.29208221483052,103.851259946803,Peninsula Plaza
4179,1.29647916306741,103.851471644872,Bras Basah MRT Station
4211,1.29043611099357,103.847124443981,
4219,1.29096802754795,103.84686777837,
4222,1.28898962180798,103.847089763656,The Central
4223,1.29084476137495,103.848579010227,
4229,1.29044830830726,103.848751235453,
4239,1.28882717929599,103.847493811865,
4249,1.29043039362749,103.850262165082,
4251,1.28973833297563,103.84888472198,
4311,1.29464575337351,103.843921422931,
4321,1.2921400077773,103.843036461911,UE Square
4329,1.29197057108024,103.843283849735,
4331,1.29183939431601,103.845040893827,Liang Court
4339,1.29221099996741,103.84500500003,Fort Canning MRT Station
5009,1.28592554082489,103.849236429653,
5012,1.28154583300728,103.840877221995,
5013,1.28406979945936,103.84299874304,Chinatown MRT Station
5019,1.28118388885484,103.841050000005,
5022,1.28571089865595,103.844372034053,
5023,1.28692928357498,103.845403756425,
5029,1.28712283362119,103.848197808225,
5039,1.28293819129834,103.842542767546,
5049,1.28531114761754,103.844550706968,Chinatown MRT Station
5059,1.28676420118491,103.845750364471,
5069,1.28027629959632,103.840297914431,Outram Park MRT Station
5129,1.28601166699569,103.846346667011,
5131,1.284073056,103.8453381,
5189,1.2820913960391,103.84528061447,
